id	count	toggle
minecraft:oak_log	350	false
minecraft:iron_pickaxe,Damage: 2	2	false
minecraft:stripped_oak_log	2	false
minecraft:lead	2	false
computercraft:wireless_modem_advanced	2	false
minecraft:raw_iron	2	false
computercraft:computer_command,ComputerId: 6	2	false
computercraft:disk	1	false
minecraft:splash_potion,Potion: "minecraft:strong_turtle_master"	1	false
minecraft:enchanted_book,StoredEnchantments: [{lvl: 5s, id: "minecraft:efficiency"}]	2	false
minecraft:dead_bush	2	false
minecraft:stone	3	false
minecraft:acacia_stairs	1	false
minecraft:birch_trapdoor	1	false
minecraft:acacia_door	1	false
minecraft:stripped_dark_oak_log	1	false
minecraft:dark_oak_fence	5	false
minecraft:birch_log	4	false
minecraft:birch_wood	1	false
minecraft:iron_ingot	261	false
minecraft:oak_fence	401	false
minecraft:bread	44	false
